| name | profile | started | first_trade | last_trade | trading_days | trading_hours | total_fills | fills_received | fills_sent | initial_deposit | cumul_deposits | total_withdrawn | net_invested | realized_pnl | total_profit | total_loss | win_rate_pct | pnl_per_fill_cents | pnl_per_fill_pct | sharpe | usdc_balance | roic_pct | maker_taker_ratio | top_market |
| 0xa95bfdb | https://polymarket.com/@0xebf79787ab928c803cbef6fa8e0abe42b9e1da78 |  | 2025-07-28 17:40:25.000 UTC | 2025-09-03 19:25:10.000 UTC | 35 | 780 | 129700 | 39677 | 90023 |  |  |  |  | 1407986.81 | 6607908.86 | 5199922.05 | 58.28 | 1085.57 | 3.89 | 0.05 |  |  | 2.27 | Will the price of Bitcoin be between $11 |
| coinman2 | https://polymarket.com/@0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3 |  | 2024-11-29 12:24:56.000 UTC | 2026-02-26 17:03:00.000 UTC | 455 | 10137 | 171963 | 51026 | 120937 |  |  |  |  | 1643573.19 | 9134040.22 | 7490467.03 | 53.95 | 955.77 | 3.17 | 0.04 |  |  | 2.37 | Will the price of Ethereum be between $2 |
| stonksgoup | https://polymarket.com/@0x4a38e6e0330c2463fb5ac2188a620634039abfe8 |  | 2024-11-29 12:10:50.000 UTC | 2025-09-05 02:01:52.000 UTC | 269 | 4986 | 60901 | 16117 | 44784 |  |  |  |  | 1086983.13 | 3456441.73 | 2369458.61 | 51.39 | 1784.84 | 4.9 | 0.08 |  |  | 2.78 | Will the price of Bitcoin be between $11 |
| PurpleThunderBicycleMountain | https://polymarket.com/@0x589222a5124a96765443b97a3498d89ffd824ad2 |  | 2025-12-06 23:49:05.000 UTC | 2026-01-21 19:19:44.000 UTC | 44 | 581 | 54000 | 0 | 54000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| Circus | https://polymarket.com/@0x28065f1b88027422274fb33e1e22bf3dad5736e7 |  | 2024-10-13 21:35:12.000 UTC | 2025-03-13 05:56:59.000 UTC | 152 | 3439 | 222757 | 97035 | 125722 |  |  |  |  | 663096.41 | 4472814.07 | 3809717.66 | 52.42 | 297.68 | 1.78 | 0.03 |  |  | 1.3 | Bitcoin above $97,000 on February 14? |
| distinct-baguette | https://polymarket.com/@0xe00740bce98a594e26861838885ab310ec3b548c |  | 2025-11-01 18:09:53.000 UTC | 2026-02-26 19:02:12.000 UTC | 118 | 2774 | 215000 | 0 | 215000 |  |  |  |  | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |  |  |  | 999.0 |  |
| HaileyWelch | https://polymarket.com/@0x80cd8310aa624521e9e1b2b53b568cafb0ef0273 |  | 2025-04-02 21:16:20.000 UTC | 2026-02-26 16:49:04.000 UTC | 331 | 7297 | 123379 | 35063 | 88316 |  |  |  |  | 1278286.84 | 7074498.25 | 5796211.41 | 53.35 | 1036.07 | 3.04 | 0.03 |  |  | 2.52 | Will the price of Bitcoin be between $11 |
| elPolloLoco | https://polymarket.com/@0xa2f1fecf1cc7db65a46588f764b6691533052d22 |  | 2023-08-05 05:35:40.000 UTC | 2026-02-26 19:07:54.000 UTC | 882 | 17526 | 149320 | 63147 | 86173 |  |  |  |  | 840961.44 | 2574516.78 | 1733555.34 | 59.46 | 563.19 | 1.19 | 0.05 |  |  | 1.36 | Will Bitcoin reach $95,000 by December 3 |
| kingofcoinflips | https://polymarket.com/@0xe9c6312464b52aa3eff13d822b003282075995c9 |  | 2025-08-23 23:35:23.000 UTC | 2026-02-26 19:06:58.000 UTC | 188 | 4356 | 106674 | 35679 | 70995 |  |  |  |  | 425238.72 | 2167666.05 | 1742427.33 | 53.72 | 398.63 | 1.57 | 0.04 |  |  | 1.99 | Will the price of Bitcoin be above $110, |
| KimballDavies | https://polymarket.com/@0x1070ee77f3d191241ccc716d0f9c2654343c9124 |  | 2024-09-25 13:46:18.000 UTC | 2025-12-02 23:51:01.000 UTC | 10 | 61 | 882 | 71 | 811 |  |  |  |  | 604315.28 | 633246.76 | 28931.48 | 45.16 | 68516.47 | 196.99 | 0.32 |  |  | 11.42 | Over $60M committed to the Solomon publi |
| brockthebaby | https://polymarket.com/@0x2adf85be1f25a77ca407cf031bd00d735c05d89c |  | 2025-08-30 16:23:13.000 UTC | 2025-09-29 16:44:29.000 UTC | 31 | 716 | 108578 | 30550 | 78028 |  |  |  |  | 508926.46 | 4895941.82 | 4387015.36 | 57.07 | 468.72 | 1.68 | 0.02 |  |  | 2.55 | Will the price of Bitcoin be between $11 |
